cityName,num_restaurants
Memphis,1
Provo,1
White Plains,2
New York,6
Erie,2
Madison,1
Denver,2
Burlington,1
Addison,1
Danvers,2
Saddle Brook,1
Bloomington,1
Lawrence Township,1
Luzerne,1
Denville,1
Westminster,2
Philadelphia,4
Clark,1
Minneapolis,1
Southlake,1
Southgate,1
Cockeysville,1
Astoria,1
Las Vegas,1
Olathe,1
Flushing,1
Kernersville,1
New Orleans,1
Middle Village,1
Sturbridge,1
Wichita,2
Providence,1
Wellington,1
Austin,2
Kirkland,2
San Diego,1
Cincinnati,1
Saint Albans,1
Spring,1
Harvey,1
Arvada,2
Sioux City,1
Sacramento,1
Suffolk,1
Gainesville,1
Pasadena,1
Fresno,1
Pickens,1
Washington,1
Keller,1
Tracy,1
Bend,1
Endicott,1
Chicago,2
Henderson,1
Americus,1
Homer Glen,1
Hernando,1
Laguna Niguel,1
Fairfield,1
Santa Cruz,1
Newton Highlands,1
Massapequa Park,1
Wausau,1
West Chester,1
Baltimore,1
Bethlehem,1
Shelton,1
Quincy,1
Arnold,1
Los Angeles,2
Menifee,1
Chandler,1
Barboursville,1
Wilmington,1
Broussard,1
Phoenix,1
Berwyn,1
Kennebunk,1
Hoboken,1
Hickory,1
Grand Prairie,1
Cedar Park,1
Buffalo,1
Essex,1
Houston,1
Connellsville,1
Pittsburgh,1
Findlay,1
Laconia,1
Staten Island,1
Southaven,1
Bloomfield,1
Piscataway,1
Lafayette,1
Osseo,1
Winston Salem,1
Hyannis,1
Urbana,1
Omaha,1
Hermosa Beach,1
Redford,1
Mount Vernon,1
Pine Plains,1
College Station,1
Bronson,1
Loveland,1
Alameda,1
Bothell,1
King Of Prussia,1
Indianapolis,1
Newark,3
Englishtown,1
Saint Louis,1
San Jose,1
Mesquite,1
Chatham,1
Spokane,1
Maitland,1
Mount Laurel,1
Fairbanks,1
Brookline,1
Littleton,1
Moses Lake,1
Irvine,1
White Lake,1
Columbus,1
Hammonton,1
Wyoming,1
