cityName,num_restaurants,avg_value
New York,24,14.852083333333331
Cockeysville,18,14.727777777777773
Lawrence Township,17,15.047058823529408
Pittsburgh,12,16.40416666666667
Saddle Brook,12,18.409999999999997
Alameda,12,22.740000000000006
Sacramento,11,11.568181818181818
Los Angeles,11,12.449090909090906
White Plains,10,13.192999999999998
Astoria,10,17.95
Mount Vernon,9,17.191111111111113
Essex,8,10.302499999999998
Denver,8,11.106250000000001
Burlington,8,11.739999999999998
Seattle,8,13.083749999999998
Austin,8,25.7025
