name,cityName,menu_item_price
Avellino's Pizza,Southaven,4.59
Blockbuster,Gainesville,4.25
C19,Philadelphia,5.0
China Kitchen,Denver,1.2
China Moon,Suffolk,1.25
Gatehouse Restaurant,Pickens,2.99
I Love Bagels,Laguna Niguel,2.95
Keyme,Kent,1.75
Knolla's Pizza,Wichita,4.89
La Hacienda,Americus,3.75
Lake Bowl Inc,Moses Lake,5.0
Larosa's Pizzeria,Cincinnati,4.39
Larosa's Pizzeria,Loveland,4.39
Louie's Pizza,Newark,4.5
Ming Garden Cocktails Chinese Restaurant,Newark,2.5
Oceano Bistro - Clayton,Saint Louis,5.0
Philly's Subs,Wausau,4.99
Sluggers Sports Bar,Erie,4.99
Supreme Roast Beef & Sea Food,Danvers,1.85
Taco Pronto,Wichita,1.99
Tony Soprano's Pizza,Mount Laurel,4.99
West River Cafe,Providence,4.95
Baldinelli Pizza,Homer Glen,3.75
Casino's Pizza,Addison,2.76
Copeland's Cheescake Bistro,New Orleans,4.95
Copeland's Cheescake Bistro,New Orleans,4.99
Doubledave's Pizza Works,College Station,3.99
Doubledave's Pizzaworks,Cedar Park,3.99
Fazoli's,Bloomington,4.0
Patrick Molloy's Sports Pub,Hermosa Beach,3.0
Prince Pizza,Redford,3.75
Prince Pizza,Redford,3.75
Rosa Ii Pizzeria & Restaurant,Middle Village,2.5
Rosa Ii Pizzeria & Restaurant,Middle Village,1.75
Atheneos Greek Village Cafe,Mesquite,4.75
Buon Cibo,Hernando,4.75
Buon Cibo,Hernando,4.75
Carluccio's,Philadelphia,3.5
Bronson Strike Zone,Bronson,3.99
Town Pub,Bloomfield,5.0
Country Bagel Bakery,West Chester,3.29
Country Bagel Bakery,West Chester,3.29
Country Bagel Bakery,West Chester,3.59
Country Bagel Bakery,West Chester,2.59
Greek's Pizzeria,Indianapolis,1.42
Suraya's - Grill and Fried Chicken,Piscataway,4.49
Suraya's - Grill and Fried Chicken,Piscataway,4.99
Abo's Pizza,Littleton,2.75
Antonio's Pizza,Chatham,1.79
Prima Pizza,Essex,3.49
Prima Pizza,Essex,3.99
Uno Pizzeria & Grill - Sturbridge,Sturbridge,2.99
Uno Pizzeria & Grill - Sturbridge,Sturbridge,2.99
Uno Pizzeria & Grill - Sturbridge,Sturbridge,2.99
Giovanni's Pizza and Pasta,Menifee,4.59
Euro Pizzeria,White Plains,2.5
Euro Pizzeria,White Plains,3.5
Mi Pal's Deli,Philadelphia,3.95
Mi Pal's Deli,Philadelphia,1.5
Mi Pal's Deli,Philadelphia,3.95
Mi Pal's Deli,Philadelphia,3.95
Mi Pal's Deli,Philadelphia,1.25
Mi Pal's Deli,Philadelphia,1.75
Milanos Pizza,Sacramento,5.0
Milanos Pizza,Sacramento,4.5
Rivertowne North Shore,Pittsburgh,4.95
Hungry Howie's Pizza,Chandler,3.0
Hungry Howie's Pizza,Chandler,5.0
Hungry Howie's Pizza,Chandler,0.59
Hungry Howie's Pizza,Chandler,4.0
Hungry Howie's Pizza,Chandler,3.0
Nino's Trattoria & Pizzeria,Lawrence Township,2.0
Nino's Trattoria & Pizzeria,Lawrence Township,4.25
Original Giorgio's,Cockeysville,4.95
Original Giorgio's,Cockeysville,4.95
